encounter,level,win_rate,avg_rounds,avg_deaths,avg_hp_pct_on_win,timeouts,n
t1_brute,1,1.000,1.00,0.00,1.000,0,80
t1_brute,2,1.000,1.02,0.00,0.999,0,80
t1_brute,3,1.000,1.01,0.00,1.000,0,80
t1_brute,4,1.000,1.04,0.00,0.998,0,80
t1_brute,5,1.000,1.00,0.00,1.000,0,80
t1_brute,6,1.000,1.01,0.00,0.999,0,80
t1_brute,7,1.000,1.00,0.00,1.000,0,80
t1_brute,8,1.000,1.01,0.00,0.999,0,80
t1_brute,9,1.000,1.00,0.00,1.000,0,80
t1_brute,10,1.000,1.00,0.00,1.000,0,80
t1_skirmisher,1,1.000,1.14,0.00,0.968,0,80
t1_skirmisher,2,1.000,1.20,0.00,0.965,0,80
t1_skirmisher,3,1.000,1.14,0.00,0.972,0,80
t1_skirmisher,4,1.000,1.12,0.01,0.975,0,80
t1_skirmisher,5,1.000,1.11,0.00,0.979,0,80
t1_skirmisher,6,1.000,1.07,0.00,0.984,0,80
t1_skirmisher,7,1.000,1.12,0.00,0.988,0,80
t1_skirmisher,8,1.000,1.07,0.00,0.982,0,80
t1_skirmisher,9,1.000,1.05,0.00,0.989,0,80
t1_skirmisher,10,1.000,1.04,0.00,0.992,0,80
t1_swarm,1,1.000,1.32,0.00,0.991,0,80
t1_swarm,2,1.000,1.38,0.00,0.989,0,80
t1_swarm,3,1.000,1.36,0.00,0.993,0,80
t1_swarm,4,1.000,1.07,0.00,0.999,0,80
t1_swarm,5,1.000,1.09,0.00,0.998,0,80
t1_swarm,6,1.000,1.11,0.00,0.999,0,80
t1_swarm,7,1.000,1.10,0.00,0.999,0,80
t1_swarm,8,1.000,1.04,0.00,1.000,0,80
t1_swarm,9,1.000,1.07,0.00,1.000,0,80
t1_swarm,10,1.000,1.01,0.00,1.000,0,80
t1_ailment,1,1.000,1.04,0.00,0.999,0,80
t1_ailment,2,1.000,1.01,0.00,0.999,0,80
t1_ailment,3,1.000,1.01,0.00,1.000,0,80
t1_ailment,4,1.000,1.01,0.00,1.000,0,80
t1_ailment,5,1.000,1.01,0.00,1.000,0,80
t1_ailment,6,1.000,1.02,0.00,1.000,0,80
t1_ailment,7,1.000,1.04,0.00,1.000,0,80
t1_ailment,8,1.000,1.00,0.00,1.000,0,80
t1_ailment,9,1.000,1.02,0.00,1.000,0,80
t1_ailment,10,1.000,1.00,0.00,1.000,0,80
t2_brute,1,1.000,1.96,0.39,0.929,0,80
t2_brute,2,1.000,1.76,0.24,0.951,0,80
t2_brute,3,1.000,1.66,0.16,0.946,0,80
t2_brute,4,1.000,1.59,0.11,0.970,0,80
t2_brute,5,1.000,1.55,0.12,0.961,0,80
t2_brute,6,1.000,1.43,0.03,0.977,0,80
t2_brute,7,1.000,1.45,0.04,0.979,0,80
t2_brute,8,1.000,1.41,0.01,0.980,0,80
t2_brute,9,1.000,1.27,0.03,0.989,0,80
t2_brute,10,1.000,1.35,0.03,0.985,0,80
t2_skirmisher,1,1.000,2.77,0.66,0.798,0,80
t2_skirmisher,2,1.000,2.60,0.35,0.827,0,80
t2_skirmisher,3,1.000,2.34,0.15,0.858,0,80
t2_skirmisher,4,1.000,2.27,0.24,0.860,0,80
t2_skirmisher,5,1.000,2.16,0.05,0.879,0,80
t2_skirmisher,6,1.000,2.16,0.04,0.880,0,80
t2_skirmisher,7,1.000,2.12,0.04,0.889,0,80
t2_skirmisher,8,1.000,2.02,0.01,0.903,0,80
t2_skirmisher,9,1.000,1.93,0.03,0.916,0,80
t2_skirmisher,10,1.000,1.76,0.01,0.918,0,80
t2_swarm,1,1.000,1.91,0.12,0.923,0,80
t2_swarm,2,1.000,1.94,0.11,0.933,0,80
t2_swarm,3,1.000,2.00,0.03,0.932,0,80
t2_swarm,4,1.000,1.86,0.05,0.952,0,80
t2_swarm,5,1.000,1.89,0.01,0.962,0,80
t2_swarm,6,1.000,1.89,0.01,0.956,0,80
t2_swarm,7,1.000,1.91,0.00,0.963,0,80
t2_swarm,8,1.000,1.80,0.01,0.972,0,80
t2_swarm,9,1.000,1.85,0.01,0.970,0,80
t2_swarm,10,1.000,1.76,0.01,0.977,0,80
t2_ailment,1,1.000,1.51,0.05,0.972,0,80
t2_ailment,2,1.000,1.39,0.03,0.978,0,80
t2_ailment,3,1.000,1.44,0.00,0.980,0,80
t2_ailment,4,1.000,1.35,0.01,0.982,0,80
t2_ailment,5,1.000,1.31,0.00,0.993,0,80
t2_ailment,6,1.000,1.24,0.00,0.993,0,80
t2_ailment,7,1.000,1.31,0.00,0.991,0,80
t2_ailment,8,1.000,1.31,0.00,0.990,0,80
t2_ailment,9,1.000,1.25,0.00,0.992,0,80
t2_ailment,10,1.000,1.30,0.00,0.996,0,80
t3_brute,1,1.000,3.14,0.68,0.835,0,80
t3_brute,2,1.000,3.01,0.55,0.855,0,80
t3_brute,3,1.000,2.98,0.60,0.839,0,80
t3_brute,4,1.000,2.83,0.50,0.862,0,80
t3_brute,5,1.000,2.61,0.44,0.890,0,80
t3_brute,6,1.000,2.45,0.36,0.883,0,80
t3_brute,7,1.000,2.51,0.33,0.891,0,80
t3_brute,8,1.000,2.29,0.20,0.910,0,80
t3_brute,9,1.000,2.20,0.28,0.924,0,80
t3_brute,10,1.000,2.17,0.15,0.932,0,80
t3_skirmisher,1,0.375,4.57,4.76,0.478,0,80
t3_skirmisher,2,0.662,4.51,3.24,0.576,0,80
t3_skirmisher,3,0.838,4.43,2.38,0.546,0,80
t3_skirmisher,4,0.975,3.83,1.12,0.659,0,80
t3_skirmisher,5,0.963,4.21,1.34,0.627,0,80
